,folder-1,folder-2,folder-3,folder-4,folder-5,folder-6,folder-7,folder-8,folder-9,folder-10,total_agreed,total_not_agreed
132-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,10.0,0.0
133-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,10.0,0.0
134-subfolder,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,11.0,12.0,10.0,0.0
135-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,10.0,0.0
136-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,10.0,11.0,9.0,1.0
137-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,12.0,11.0,12.0,12.0,10.0,0.0
138-subfolder,12.0,10.0,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,9.0,1.0
139-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,10.0,0.0
140-subfolder,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,11.0,12.0,10.0,0.0
141-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,12.0,10.0,12.0,12.0,9.0,1.0
142-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,10.0,0.0
143-subfolder,11.0,10.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,9.0,1.0
144-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,10.0,11.0,12.0,12.0,9.0,1.0
145-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,10.0,12.0,9.0,1.0
146-subfolder,12.0,10.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,9.0,1.0
147-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
148-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
149-subfolder,12.0,12.0,12.0,11.0,11.0,10.0,12.0,11.0,12.0,11.0,9.0,1.0
150-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
151-subfolder,11.0,11.0,12.0,11.0,12.0,12.0,12.0,11.0,12.0,11.0,10.0,0.0
152-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
153-subfolder,11.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,10.0,0.0
154-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,12.0,12.0,11.0,12.0,10.0,0.0
155-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,10.0,0.0
156-subfolder,11.0,11.0,12.0,11.0,12.0,10.0,12.0,11.0,11.0,12.0,9.0,1.0
157-subfolder,11.0,11.0,12.0,11.0,12.0,11.0,11.0,11.0,11.0,12.0,10.0,0.0
158-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
159-subfolder,11.0,11.0,12.0,11.0,12.0,12.0,12.0,12.0,11.0,12.0,10.0,0.0
160-subfolder,12.0,10.0,12.0,11.0,11.0,10.0,12.0,11.0,12.0,12.0,8.0,2.0
161-subfolder,11.0,11.0,12.0,11.0,12.0,12.0,11.0,11.0,12.0,12.0,10.0,0.0
162-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,12.0,11.0,12.0,12.0,10.0,0.0
163-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,10.0,0.0
164-subfolder,12.0,12.0,12.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
165-subfolder,12.0,11.0,12.0,11.0,12.0,11.0,11.0,12.0,12.0,12.0,10.0,0.0
166-subfolder,11.0,12.0,12.0,11.0,12.0,12.0,11.0,12.0,12.0,12.0,10.0,0.0
167-subfolder,12.0,11.0,12.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,10.0,0.0
168-subfolder,12.0,12.0,12.0,11.0,12.0,11.0,11.0,12.0,11.0,12.0,10.0,0.0
169-subfolder,12.0,10.0,12.0,11.0,11.0,12.0,12.0,12.0,11.0,11.0,9.0,1.0
